Case,LoadCase,strain0,StepTime,ALLSE,RF_LEFT_x,RF_LEFT_y,RF_RIGHT_x,RF_RIGHT_y,RF_BOTTOM_x,RF_BOTTOM_y,RF_TOP_x,RF_TOP_y,Volume,nBndNodes,Savg_11,Savg_22,Savg_33,Savg_12,Eavg_11,Eavg_22,Eavg_33,Eavg_12,Uavg_1,Uavg_2,Fbar_11,Fbar_12,Fbar_21,Fbar_22,G111,G112,G121,G122,G211,G212,G221,G222,Fbar_11_int,Fbar_12_int,Fbar_21_int,Fbar_22_int,G111_int,G112_int,G121_int,G122_int,G211_int,G212_int,G221_int,G222_int,Q111,Q112,Q121,Q122,Q211,Q212,Q221,Q222,fitResidMax,c1_fit,c2_fit,ALLSE_std,HillResid,QSymResid,ForceBalanceResid,KubcErrF,KubcErrG,EnergyConsistencyResid
26,NC_k0025,0.01,1,0.332495326265173,-81.0730185361536,-49.9053926558016,-81.0730054521599,-49.9054040211971,79.6396072796719,50.2872525197496,79.6396208829547,50.2872424058627,1,400,5.45583543620776e-14,1.01696429055664e-13,5.4172457847947e-14,5.93783106451334e-14,4.40023689931258e-19,2.09219123205282e-18,0,3.01086463779912e-18,-0.000326487075771723,0.000321138042336577,1,-1.19945362562054e-20,-1.93593433419274e-19,1,-0.00763455358412234,-0.00511308436295233,-0.00511308436295233,0.0140282183419054,-0.00205238742742985,-0.00888579138831073,-0.00888579138831073,0.0059673668624843,1,2.16840434497101e-19,1.35525271560688e-20,1,-0.00763331060390709,-0.00511410697982492,-0.00511410697982492,0.0140272950449281,-0.00205188856522948,-0.00888756854658839,-0.00888756854658839,0.00596706374925569,-14.8411306351568,-14.3968018282376,-7.52662936490742,10.1837639405732,-7.52662936490742,10.1837639405732,-35.9511256716271,8.76732885499787,6.50521303491303e-19,5.94946847122669e-19,5.60890450801671e-19,0,11.6447402087882,2.02278595370285e-14,5.77108495895336e-13,1.93593433419274e-19,5.20417042793042e-18,4.1738294380555e-15
27,NC_k0026,0.01,1,0.190188313553053,14.2092430212371,-81.7704081469291,14.2092622219268,-81.7704246941645,-14.0944860460063,84.0326519317076,-14.0944748490837,84.0326425277033,1,400,4.93203568263656e-14,1.84680829656836e-14,2.43325339996897e-14,2.04661049392485e-14,1.09339380345219e-18,4.39960824204704e-20,0,1.0240529070631e-18,4.41490578875779e-05,0.00195859533000443,1,-6.97528744881174e-20,6.39523540826041e-20,1,0.00138174908359249,-0.00623142958188206,-0.00623142958188206,-0.00146165364460813,0.00698753012182909,-0.000509136241330345,-0.000509136241330345,0.0175510349137461,1,2.71050543121376e-20,0,1,0.00138160491584205,-0.00623267586779844,-0.00623267586779844,-0.00146151347208574,0.00698867176119458,-0.000509238068578611,-0.000509238068578611,0.0175511202026324,2.48325395109468,-15.5944290178761,-8.70331832825929,-2.1103359032167,-8.70331832825929,-2.1103359032167,-0.848323235332379,16.0537228291586,8.67361737988404e-19,1.15672179258246e-19,7.16958932013883e-19,0,30.0837249945043,1.76902923216845e-14,4.81146395813076e-13,6.97528744881174e-20,6.93889390390723e-18,1.56152948379967e-14
28,NC_k0027,0.01,1,0.515104338359103,38.7709103403666,43.4926189301808,38.7708822476203,43.4926431768497,-38.3274662595032,-46.3335082971346,-38.3274850576633,-46.3334930393199,1,400,1.85322243662078e-13,1.61929497588531e-13,1.15019542331937e-13,1.43437779015487e-14,3.11270049737174e-18,2.26372533003917e-18,0,7.4157734532114e-19,0.000404895450937197,-0.00156354144384573,1,-3.50957904363906e-19,-1.48516529725186e-19,1,0.00546780616345853,-0.0148737930887004,-0.0148737930887004,-0.00015435334966179,0.00196682104422621,-0.00420214574164677,-0.00420214574164677,-0.0112837554077873,1,0,0,1,0.00546765789180323,-0.0148767678473182,-0.0148767678473182,-0.000153939405365787,0.00196592559204452,-0.0042029861707951,-0.0042029861707951,-0.0112833258023238,6.88824101139044,-54.866581936646,0.997725843491162,-5.44749109274367,0.997725843491162,-5.44749109274367,-11.9471465883206,-10.2282349353996,1.30104260698261e-18,4.27084051633354e-19,-9.46931737582773e-20,0,8.84906066591158,1.6421839448225e-14,1.14697538738137e-12,3.50957904363906e-19,4.33680868994202e-18,4.95727324831361e-15
29,NC_k0028,0.01,1,0.41106023612198,-75.5994724407514,36.8141787893372,-75.5994741810428,36.814180318599,76.0865305298155,-36.6375704373696,76.0865275491862,-36.6375683655079,1,400,4.47064260611363e-14,-5.21692064547885e-14,-3.97780708138455e-15,-2.44426874573822e-14,1.57221226411219e-18,-1.75814923092431e-18,0,-1.16608643568335e-18,0.000337686048958506,0.000657277598456843,1,-7.1859482072456e-20,3.69962505804587e-19,1,-0.00471347832099349,-0.00430342922469209,-0.00430342922469209,0.00798128353293045,0.0130887593471326,0.0111079045568512,0.0111079045568512,0.000928206497120315,1,0,0,1,-0.00471276188777049,-0.00430428991053703,-0.00430428991053703,0.00798073048996805,0.0130885017436362,0.0111101261377626,0.0111101261377626,0.000929164948908915,-12.2637199207343,-16.9777173314197,6.56851288706045,13.8462516259928,6.56851288706045,13.8462516259928,33.7414970942638,-5.99467442720974,1.73472347597681e-18,6.31820164878407e-19,-1.41053481142931e-18,0,14.9268209553261,1.33634341948728e-14,8.98452464756181e-13,3.69962505804587e-19,6.07153216591882e-18,1.48548219916518e-15
30,NC_k0029,0.01,1,0.31339539687931,-13.1298784946599,16.4839430630468,-13.1298964616513,16.4839586994675,15.5947088439685,-16.6274267220278,15.5946882020449,-16.6274116165244,1,400,-6.16405797931874e-14,-1.27823966689089e-13,-6.56865693002839e-14,-4.03813267546571e-14,-3.8104984815929e-19,-2.68937592964671e-18,0,-2.0450551720271e-18,0.0019175542024037,-0.000394804252635681,1,2.26468010703579e-19,1.76820902276769e-19,1,0.00884989807930435,0.0064798507234388,0.0064798507234388,0.0126933317263392,-0.00424549304752961,0.00927811762783743,0.00927811762783743,-0.00380295810394701,1,0,0,1,0.00885062883173184,0.00648114669358349,0.00648114669358349,0.012693678135402,-0.00424567213206122,0.009279973251363,0.009279973251363,-0.00380318144197298,-0.0737126798962281,21.2244061392241,2.4476189592227,8.08232607863461,2.4476189592227,8.08232607863461,31.8795178976795,-2.91377617129796,1.73472347597681e-18,-7.75694382180155e-19,-5.75066366811809e-19,0,8.12075985098832,1.32020429691527e-14,7.95281974414631e-13,2.26468010703579e-19,3.46944695195361e-18,9.74204901578357e-15
31,NC_k0030,0.01,1,0.457694269843931,47.7772249158091,-10.9364346730086,47.7772279395461,-10.9364373305962,-48.6321009731358,10.6229680121479,-48.6320957602682,10.6229643911823,1,400,-7.99004959417537e-14,4.95614833895264e-14,-1.13937601066239e-14,2.86667391213857e-14,-2.29672983648004e-18,1.76414463600409e-18,0,1.49499991701404e-18,-0.000407214534348634,-0.000797011859957456,1,1.15293738276321e-19,-2.70603905234063e-19,1,0.00224963521138602,0.0075052774219652,0.0075052774219652,-0.00353491288320554,-0.0121081658433771,-0.012816905715274,-0.012816905715274,-0.00390302330741578,1,0,0,1,0.00224931385203949,0.0075067784774496,0.0075067784774496,-0.00353465578774261,-0.0121081558659791,-0.012819469096417,-0.012819469096417,-0.00390383384427135,7.27781030899053,26.3591086443647,-2.53009906096333,-10.0554430725091,-2.53009906096333,-10.0554430725091,-41.4306613872557,1.51157874182662,2.38524477946811e-18,-5.20352064471224e-19,3.49513199666955e-19,0,11.9321041261846,1.28346230733634e-14,7.89998941534106e-13,2.70603905234063e-19,5.20417042793042e-18,1.60095339734636e-14
32,NC_k0031,0.01,1,0.464128902092708,36.9293355923353,-53.1763348570998,36.9293460361193,-53.1763439728023,-38.8114865982022,52.9149555542325,-38.8114728236664,52.9149456720585,1,400,9.66455648149234e-14,1.2887997960509e-13,7.68792836562507e-14,4.13935379028896e-14,1.21778522396792e-18,2.37582815537481e-18,0,2.12532477866925e-18,-0.00153032924699293,-5.68625509166643e-05,1,-2.16546965778457e-19,-2.2787388777979e-19,1,-0.00489617049868363,-0.00959510323729569,-0.00959510323729569,-0.0131397015888722,-0.00314287102986019,-0.00907244958180328,-0.00907244958180328,0.00437295903755682,1,0,-5.42101086242752e-20,1,-0.00489703357204032,-0.00959702225794316,-0.00959702225794316,-0.0131397403091199,-0.00314246448615663,-0.00907426407171965,-0.00907426407171965,0.00437261399825364,4.57026504984141,-29.8516348429591,-9.50184021061343,-10.6856725124954,-9.50184021061343,-10.6856725124954,-29.5379876411646,8.65254161420538,1.73472347597681e-18,5.63661355973981e-20,4.09624832110513e-19,0,10.263758635426,1.02455814604271e-14,2.88229106702291e-13,2.2787388777979e-19,3.46944695195361e-18,1.26779047889114e-14
33,NC_k0032,0.01,1,0.363909088412993,77.804789685469,-38.082474561845,77.8047922739504,-38.0824766883799,-76.0300486330806,39.7371656277787,-76.0300540755864,39.7371686728223,1,400,-1.28693063150553e-13,-8.08377345097588e-14,-7.28398232390682e-14,-3.49519675355014e-15,-2.5723331816929e-18,-8.32461333583566e-19,0,-1.97193240587741e-19,0.00136668020739963,0.000688117006294758,1,3.33312049427331e-19,-1.15159027991653e-19,1,0.0136913367855113,0.0110871636454645,0.0110871636454645,0.00148412401573944,-0.00614492925545893,-0.00329091592009189,-0.00329091592009189,0.00623130741358427,1,0,-1.0842021724855e-19,1,0.0136911058113929,0.0110893810781936,0.0110893810781936,0.00148511376289796,-0.00614430828417152,-0.00329157410327591,-0.00329157410327591,0.00623069076120478,14.5876501003101,41.0701454403502,-2.7203598207572,-8.82120051801795,-2.7203598207572,-8.82120051801795,-6.01520418182245,8.09675571701298,1.73472347597681e-18,-5.62773420825065e-19,8.66300485444734e-19,0,8.02871605682975,1.36180399015544e-14,2.70964410599115e-13,3.33312049427331e-19,6.93889390390723e-18,1.23558421399715e-14
34,NC_k0033,0.01,1,0.470879335267077,-16.9786665869057,59.4962043027632,-16.9786999553834,59.4962331764847,18.7477719433958,-61.9174459133828,18.7477447055585,-61.9174247445205,1,400,1.01601019264486e-13,-3.7324310309117e-14,2.13078405019648e-14,-4.59309239947414e-14,2.77955185130479e-18,-1.78354698445214e-18,0,-2.26525726853362e-18,0.00109529023431507,-0.00154793989636169,1,-4.12021353562178e-20,2.54774927490218e-19,1,0.00391322324877467,-0.00626045912008749,-0.00626045912008749,0.00480708725796236,-0.00020921014258653,0.012488685847635,0.012488685847635,-0.0128986124998242,1,0,1.0842021724855e-19,1,0.0039134859497378,-0.0062617112119115,-0.00626171121191151,0.00480726057252458,-0.000210172308270457,0.0124911835848045,0.0124911835848045,-0.0128983057252724,-1.32051510165519,-26.0649498345731,4.61348189154851,7.06855469689581,4.61348189154851,7.06855469689581,42.467120391574,-12.4804622487581,1.0842021724855e-18,2.35653256972401e-19,-8.56561645083961e-19,0,14.1817450357698,2.02251257428596e-14,5.76290562226758e-13,2.54774927490218e-19,4.01154803819637e-18,9.31317350076965e-15
35,NC_k0034,0.01,1,0.361984734458516,27.2312019301129,114.722603525999,27.2311829867985,114.72261985095,-27.352490965249,-116.960714607905,-27.3525019801924,-116.960705349738,1,400,2.20931129293889e-14,9.78011074903584e-14,4.06000208481338e-14,-9.40708014957048e-16,-3.55767072736607e-19,2.25355762594967e-18,0,-1.20847778771547e-19,0.000182578258705724,-0.00139730471352267,1,4.26086592312945e-20,-2.740363842338e-19,1,0.00359295174533235,0.000616426183014777,0.000616426183014777,0.00199159317497654,0.00546833848355632,-0.00844327965108072,-0.00844327965108072,-0.0167795284827941,1,0,-2.37169225231204e-20,1,0.00359301129102684,0.00061654946825138,0.00061654946825138,0.00199181285652807,0.00546694331045802,-0.00844496830701094,-0.00844496830701094,-0.0167786988691957,4.46419819232912,-5.71529525239232,14.2857245825602,-4.85833933342737,14.2857245825602,-4.85833933342737,-27.4128997926723,-21.5577180784213,1.30104260698261e-18,-2.39384097644881e-19,-5.53785687454554e-19,0,11.836524561668,1.12888055272155e-14,6.19220804971064e-13,2.740363842338e-19,6.93889390390723e-18,1.18081185141709e-14
36,NC_k0035,0.01,1,0.467909016747008,-40.1598895045835,-70.1827971504353,-40.1598964376175,-70.1827911391637,40.7320689515029,69.8367070884805,40.7320624837042,69.8367119883738,1,400,1.65540324503777e-14,-1.09261558134399e-13,-3.04330981297101e-14,-2.35429080744365e-14,1.41572292710696e-18,-2.83827505735115e-18,0,-1.17302482666145e-18,6.7062261888682e-05,-0.000650417042861931,1,-5.12614619014917e-20,1.81133701008706e-19,1,-0.00351465423052479,-0.00255730804241255,-0.00255730804241255,-0.000555357364942645,-0.0142628356337485,0.0131526284975548,0.0131526284975548,0.00209256844649203,1,0,2.16840434497101e-19,1,-0.0035146080159714,-0.00255781950402103,-0.00255781950402103,-0.00055560708007581,-0.0142623221202242,0.0131552590232543,0.0131552590232543,0.00209144641960833,-6.24395168418979,-4.64420346441437,-12.5430874532491,8.10304324835863,-12.5430874532491,8.10304324835863,42.9609250751096,11.4185942794533,2.60208521396521e-18,1.64058133485501e-19,3.45075224423348e-20,0,15.2764785266333,1.9689381850068e-14,2.04451338478169e-12,1.81133701008706e-19,5.20417042793042e-18,1.6253218994483e-14
37,NC_k0036,0.01,1,0.253307256003272,-25.6497678074913,5.60666006799768,-25.6497688605178,5.60666098547163,25.8117261424878,-5.60164601838648,25.8117248635411,-5.60164509017223,1,400,1.33355132492241e-13,1.13651492730793e-13,8.35643510499827e-14,2.43273283462297e-14,2.32312020674293e-18,1.58297719260395e-18,0,1.20474554879163e-18,0.000496129535245141,0.000687099330138569,1,-1.10734485301238e-19,1.53275741970539e-20,1,0.00084416212523823,-0.0113505931958439,-0.0113505931958439,0.00945185736383171,0.0125214744945685,-0.00300099643370445,-0.00300099643370445,0.0039141427757966,1,0,0,1,0.000844849910487388,-0.0113528633144831,-0.0113528633144831,0.00945168437955701,0.0125214550184143,-0.00300159663299119,-0.00300159663299119,0.0039149840328143,-4.16374164504676,-39.373318503829,0.951835653771088,4.6899695675405,0.951835653771088,4.6899695675405,-11.833362231429,-0.935541236734973,1.0842021724855e-18,-8.13496834990119e-20,-1.90465161243858e-19,0,12.6871243853579,1.86783046848651e-14,7.56209742920274e-13,1.10734485301238e-19,2.38524477946811e-18,1.02998396059978e-14
38,NC_k0037,0.01,1,0.35090707648228,56.6020516529904,-1.45303949963552,56.6020739496764,-1.45305872453442,-56.6294554608171,3.95679475452915,-56.6294418235674,3.95678344031282,1,400,-9.16359002567368e-14,6.98356303341363e-15,-2.85105905169019e-14,9.40933325721018e-15,-2.32259081115089e-18,9.89903582654459e-19,0,5.19780651388774e-19,6.78213089468504e-05,0.0019392501028369,1,1.21650408816831e-19,-7.51197073342788e-20,1,0.00526516256280188,0.0075507131118313,0.0075507131118313,-0.00336613753595377,0.0112742548893739,-0.00828254755886328,-0.00828254755886328,0.0104031002784615,1,0,0,1,0.00526477847342261,0.00755222325445367,0.00755222325445367,-0.00336565849532317,0.0112747532655226,-0.00828420406837506,-0.00828420406837506,0.0104036857700713,9.4733350557961,26.9933746111351,5.30830232746815,-9.56231363550905,5.30830232746815,-9.56231363550905,-25.0396009216489,2.82681010719168,1.73472347597681e-18,-5.76504647104846e-19,6.11986430001945e-19,0,26.2614837812,2.66952152304257e-14,1.1700808859276e-13,1.21650408816831e-19,6.93889390390723e-18,1.67684906485791e-14
